Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Mason Barnett","ATH",1,0,1,5,0,10.2,11.812500704079909,2.531250150874266,0.843750050291422,0.19047619047619047,1,0.09090909,0.071428571,95.17252797929068,0.843750050291422,2.6151743736482023,2.5305639885365947,3.266972797392087,0.18714452972940415,"Mason Barnett",31741,686930
"Dylan Smith","SFG",0,0,1,6,0,5.1,11.812500770087404,3.3750002200249725,0,0.23076923076923078,1,0.384615384,0,96.01233308211617,0,1.3651491816815065,1.5930639242753328,3.5482228166992926,0.18709071784010975,"Dylan Smith",30145,681916
"Grayson Rodriguez","LAA",0,0,0,2,2,7.2,8.217391985801363,4.695652563315065,0,0.36,0.64285714,0.32,0,96.4973394931891,4.695652563315065,6.834696534372219,3.2234988154896276,4.195006356905737,0.17368474268661674,"Grayson Rodriguez",24492,680570
"Yennier Cano","BAL",0,0,0,6,0,5,12.600002553463499,1.8000003647804999,0,0.16666666666666666,0.66666667,0.583333333,0,,0,1.361770998212588,0.8930635762213761,1.7868506213351751,0.17229860078890555,"Yennier Cano",25911,666974
"J.T. Ginn","ATH",2,0,0,2,2,11.2,6.171428907744757,3.857143067340473,0.7714286134680947,0.325,0.73863636,0.512195121,0.071428571,92.81571807861329,3.857143067340473,4.174070333729122,4.121635506688335,4.7949235570592625,0.16783252084938213,"J.T. Ginn",27889,669372
"Cam Booser","TBR",0,0,0,5,0,5,16.2000032830245,5.4000010943414996,0,0.2857142857142857,1,0.285714285,0,96.2725102351262,0,1.4131215189917987,1.2930636572837093,2.7827087324733744,0.16595148663546802,"Cam Booser",16061,592155
"Fernando Cruz","NYY",1,1,1,5,0,5,14.400005836489182,9.00000364780574,0,0.3,0.75,0.222222222,0,93.68113939689867,3.6000014591222955,2.1389767619425215,2.8930639410018593,4.680638393491848,0.16277371952284528,"Fernando Cruz",7048,518585
"Spencer Miles","TOR",1,0,0,4,0,10,9.000001716614097,2.700000514984229,0.9000001716614097,0.13043478260869565,0.71428571,0.5,0.142857142,95.9497465245864,2.700000514984229,2.7900486757348144,3.293064060211189,3.0358153524580156,0.1605158674049865,"Spencer Miles",31621,693686
"Tanner Bibee","CLE",2,0,0,2,2,15,6.6,2.4,1.2,0.08571428571428572,1,0.459459459,0.125,93.96005539667038,1.2,4.992991556898298,4.159730688730876,4.015351780255636,0.153767403739074,"Tanner Bibee",30134,676440
"Eduard Bazardo","SEA",0,0,0,6,0,5.1,6.750001760200125,1.6875004400500313,0,0.26666666666666666,0.8,0.4,0,95.71890258789062,1.6875004400500313,3.0864901827737334,2.1555637775919703,4.390031520231534,0.15040408029538815,"Eduard Bazardo",20997,660825
"Brad Lord","WSN",2,0,1,4,0,9.2,5.586207263960165,3.7241381759734433,0,0.18518518518518517,0.77777778,0.777777777,0,94.04471456593481,1.8620690879867217,3.0363843451178667,3.093064022064209,3.7094687963867043,0.14972361257549188,"Brad Lord",31972,695418
