Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Denzer Guzman","LAA",44,157,166,37,26,5,0,6,15,17,8,0,55,0,0,0,1,1,1,0.235668789,"Denzer Guzman",28816,694203
"TJ Friedl","CIN",298,1070,1248,252,185,33,4,30,135,119,125,0,219,32,10,11,10,26,4,0.235514018,"TJ Friedl",19522,670770
"Andrés Giménez","- - -",346,1206,1320,284,210,48,3,23,128,136,62,1,223,34,12,6,25,53,9,0.23548922,"Andres Gimenez",19950,665926
"Nick Fortes","- - -",281,739,807,174,126,36,1,11,70,70,31,0,118,19,7,11,19,1,1,0.235453315,"Nick Fortes",21538,663743
"Brayan Rocchio","CLE",355,1058,1196,249,174,50,4,21,125,124,93,1,218,23,13,9,20,33,15,0.235349716,"Brayan Rocchio",23690,677587
"Jorge Polanco","- - -",276,965,1076,227,139,45,0,43,111,126,94,4,234,7,7,3,24,10,5,0.23523316,"Jorge Polanco",13152,593871
"Mark Canha","- - -",171,506,587,119,88,23,0,8,55,48,58,2,120,16,7,0,11,7,1,0.235177865,"Mark Canha",11445,592192
"Jordan Beck","COL",233,791,860,186,122,38,6,20,83,76,60,1,261,5,3,0,15,28,10,0.235145385,"Jordan Beck",31431,687597
"J.D. Martinez","NYM",120,434,495,102,61,24,1,16,46,69,49,0,141,6,2,0,17,0,0,0.235023041,"J.D. Martinez",6184,502110
"Lawrence Butler","OAK",368,1230,1365,289,174,63,4,48,178,143,128,1,364,1,4,2,18,46,10,0.234959349,"Lawrence Butler",22542,671732
"Jon Berti","- - -",78,166,181,39,36,2,0,1,22,8,11,0,36,3,0,1,3,16,4,0.234939759,"Jon Berti",12037,542932
"Dansby Swanson","CHC",403,1448,1605,340,214,62,8,56,226,201,138,3,398,5,12,2,20,52,6,0.234806629,"Dansby Swanson",18314,621020
"JJ Bleday","- - -",327,1130,1283,265,139,71,5,50,159,142,144,5,275,4,3,1,19,8,8,0.234513274,"JJ Bleday",26368,668709
"Tyrone Taylor","NYM",301,755,822,177,108,47,6,16,96,80,41,2,180,14,3,8,8,23,6,0.234437086,"Tyrone Taylor",13675,621438
"Spencer Steer","CIN",398,1412,1595,331,199,69,6,57,194,207,157,1,348,18,6,1,27,35,4,0.234419263,"Spencer Steer",26323,668715
"Austin Wynns","- - -",67,175,187,41,23,12,0,6,19,23,8,0,51,1,1,2,3,0,0,0.234285714,"Austin Wynns",15271,642851
"Alejandro Osuna","TEX",125,316,367,74,63,8,0,3,33,33,38,1,60,10,2,1,4,9,6,0.234177215,"Alejandro Osuna",27915,696030
"Alex Verdugo","- - -",205,756,834,177,125,38,1,13,95,73,63,0,124,3,10,2,15,3,1,0.234126984,"Alex Verdugo",17027,657077
"José Caballero","- - -",350,1034,1159,242,164,52,2,24,141,115,91,1,300,17,8,9,15,116,35,0.234042553,"Jose Caballero",23401,676609
"Billy Cook","PIT",76,94,94,22,15,3,1,3,15,10,0,0,35,0,0,0,0,6,1,0.234042553,"Billy Cook",29573,695257
"Ronny Simon","- - -",27,77,88,18,15,3,0,0,10,7,8,0,15,0,2,1,1,1,0,0.233766233,"Ronny Simon",25346,682927
"Connor Norby","- - -",198,689,764,161,101,38,1,21,91,70,57,0,224,13,5,0,10,17,8,0.233671988,"Connor Norby",29592,681393
"Owen Caissie","- - -",92,244,273,57,31,13,0,13,34,54,19,0,107,3,7,0,2,4,1,0.233606557,"Owen Caissie",27496,683357
"Matt Carpenter","STL",59,137,157,32,21,7,0,4,15,15,15,0,51,2,2,0,0,0,2,0.233576642,"Matt Carpenter",8090,572761
"J.P. Crawford","SEA",344,1255,1454,293,210,50,2,31,162,123,176,1,294,14,3,6,19,14,4,0.233466135,"J.P. Crawford",15491,641487
"Parker Meadows","DET",152,497,550,116,75,19,9,13,64,46,48,0,142,2,2,1,0,16,4,0.233400402,"Parker Meadows",23800,678009
"Vaughn Grissom","- - -",90,300,336,70,50,15,0,5,33,42,25,0,55,5,5,0,11,2,0,0.233333333,"Vaughn Grissom",26031,687093
"Yohel Pozo","STL",85,193,201,45,31,9,0,5,16,24,7,0,25,0,1,0,9,0,0,0.233160621,"Yohel Pozo",18848,650968
"Jose Trevino","- - -",194,562,610,131,88,28,0,15,65,60,36,0,91,2,6,4,22,1,0,0.233096085,"Jose Trevino",16725,624431
"Jakob Marsee","MIA",151,541,630,126,81,29,6,10,75,58,72,0,135,11,2,4,4,33,16,0.232902033,"Jakob Marsee",31370,805300
"Spencer Jones","NYY",30,73,82,17,11,4,0,2,6,7,9,0,34,0,0,0,0,1,0,0.232876712,"Spencer Jones",31532,682987
"Noelvi Marte","CIN",199,700,743,163,105,32,2,24,85,82,34,0,195,6,3,0,11,24,7,0.232857142,"Noelvi Marte",26517,682622
"David Hamilton","- - -",263,675,749,157,109,27,4,17,105,62,57,0,181,3,0,13,5,73,15,0.232592592,"David Hamilton",27531,666152
"Weston Wilson","- - -",127,258,289,60,37,12,1,10,36,34,26,0,82,3,1,1,3,9,4,0.232558139,"Weston Wilson",19358,642215
"Kahlil Watson","CLE",26,86,89,20,14,5,0,1,5,11,3,0,32,0,0,0,2,9,1,0.232558139,"Kahlil Watson",29905,696135
"Joey Ortiz","MIL",377,1131,1269,263,183,51,7,22,146,128,107,0,221,9,9,13,26,32,13,0.232537577,"Joey Ortiz",25493,687401
"Andrew McCutchen","- - -",292,998,1149,232,155,42,1,34,125,112,134,6,273,9,6,0,21,4,3,0.232464929,"Andrew McCutchen",9847,457705
"Blake Dunn","CIN",87,228,259,53,38,10,1,4,38,15,20,0,69,10,1,0,4,9,4,0.23245614,"Blake Dunn",29487,694362
"Max Kepler","- - -",247,832,924,193,122,43,1,27,105,103,72,3,185,9,9,1,13,4,0,0.231971153,"Max Kepler",12144,596146
"Mike Trout","LAA",240,858,1049,199,113,29,3,54,148,117,173,19,298,11,6,0,12,16,1,0.231934731,"Mike Trout",10155,545361
"Matthew Lugo","LAA",31,69,70,16,9,2,1,4,9,9,0,0,24,1,0,0,3,0,0,0.231884057,"Matthew Lugo",25980,683090
"Brooks Baldwin","CHW",136,414,449,96,61,21,1,13,41,46,27,0,117,1,2,5,10,9,0,0.231884057,"Brooks Baldwin",31394,681460
"Sterlin Thompson","COL",27,69,77,16,10,4,0,2,7,10,5,0,21,3,0,0,3,0,0,0.231884057,"Sterlin Thompson",31443,694514
"Mike Yastrzemski","- - -",372,1135,1294,263,156,55,11,41,162,131,137,5,293,12,7,3,14,11,4,0.231718061,"Mike Yastrzemski",14854,573262
"Andy Ibáñez","- - -",204,423,463,98,71,17,1,9,55,58,28,0,92,7,5,0,8,6,4,0.231678486,"Andy Ibanez",18819,628451
"Wenceel Pérez","DET",265,894,983,207,130,37,11,29,120,97,77,0,208,4,6,2,11,20,9,0.231543624,"Wenceel Perez",22857,672761
"Kazuma Okamoto","TOR",96,350,395,81,47,12,0,22,50,62,37,0,121,6,2,0,6,0,0,0.231428571,"Kazuma Okamoto",37123,672960
"Matt Shaw","CHC",182,523,584,121,72,27,5,17,77,64,50,0,121,5,5,1,4,21,6,0.231357552,"Matt Shaw",33322,807713
"Brady House","WSN",117,424,451,98,69,18,0,11,48,54,21,0,128,0,6,0,15,6,3,0.231132075,"Brady House",29993,691781
"Zach McKinstry","DET",336,974,1092,225,143,44,18,20,121,91,96,2,225,9,9,4,13,36,9,0.23100616,"Zach McKinstry",19392,656716
